Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,30.870001000000002,31.58,29.219998999999998,30.209999,30.209999,45400
2015-01-05,30.190001000000002,30.76,29.559998999999998,29.73,29.73,32800
2015-01-06,29.84,29.84,28.290001,29.379998999999998,29.379998999999998,62600
2015-01-07,29.76,29.940001000000002,28.5,28.639999,28.639999,51500
2015-01-08,28.959999,29.51,28.57,29.370001000000002,29.370001000000002,73600
2015-01-09,29.379998999999998,30.396,28.83,30.129998999999998,30.129998999999998,71200
2015-01-12,30.309998999999998,30.610001,29.049999,29.27,29.27,35200
2015-01-13,29.5,29.870001000000002,28.5,29.73,29.73,80300
2015-01-14,29.42,29.77,28.85,29.65,29.65,24400
2015-01-15,29.879998999999998,29.879998999999998,28.4,28.700001,28.700001,61400
2015-01-16,28.549999,30.15,28.51,30.129998999999998,30.129998999999998,64500
2015-01-20,30.040001,30.040001,28.280001000000002,29.059998999999998,29.059998999999998,70000
2015-01-21,28.879998999999998,29.907,28.5,28.959999,28.959999,42400
2015-01-22,28.870001000000002,29.389999,28.129998999999998,29.07,29.07,77400
2015-01-23,29.07,29.07,27.889999,27.889999,27.889999,43800
2015-01-26,27.74,28.299999,27.59,28.299999,28.299999,92000
2015-01-27,28.16,28.940001000000002,27.690001000000002,27.719998999999998,27.719998999999998,31300
2015-01-28,27.799999,27.92,26.35,26.620001000000002,26.620001000000002,60900
2015-01-29,26.6,26.6,25.82,26.27,26.27,66100
2015-01-30,26.23,26.27,25.26,25.52,25.52,155300
2015-02-02,25.709999,25.709999,25.0,25.59,25.59,63600
2015-02-03,25.65,27.84,25.639999,27.459999,27.459999,27100
2015-02-04,27.49,27.77,27.059998999999998,27.34,27.34,54100
2015-02-05,27.66,28.66,26.42,28.5,28.5,73900
2015-02-06,28.41,29.610001,28.219998999999998,28.66,28.66,48600
2015-02-09,28.75,28.823999,27.690001000000002,28.15,28.15,51700
2015-02-10,28.4,29.26,27.639999,27.92,27.92,65000
2015-02-11,27.85,28.190001000000002,27.52,27.91,27.91,19900
2015-02-12,27.962999,29.76,27.709999,28.200001,28.200001,52100
2015-02-13,28.51,29.33,28.23,29.110001,29.110001,39200
2015-02-17,29.309998999999998,29.709999,29.209999,29.360001,29.360001,18900
2015-02-18,29.17,30.27,29.16,29.450001,29.450001,35200
2015-02-19,29.58,29.58,29.223,29.379998999999998,29.379998999999998,9300
2015-02-20,29.51,30.540001,29.200001,30.389999,30.389999,94000
2015-02-23,30.07,32.150002,30.07,32.099998,32.099998,84600
2015-02-24,32.0,33.5,31.99,33.259997999999996,33.259997999999996,159200
2015-02-25,33.75,37.700001,33.509997999999996,37.330002,37.330002,174000
2015-02-26,37.41,38.43,36.27,36.610001000000004,36.610001000000004,150700
2015-02-27,36.5,37.25,34.59,35.990002000000004,35.990002000000004,140900
2015-03-02,35.990002000000004,38.139998999999996,33.27,34.27,34.27,316000
2015-03-03,31.99,32.360001000000004,29.75,30.73,30.73,856300
2015-03-04,30.790001,33.130001,30.24,32.66,32.66,492800
2015-03-05,32.540001000000004,32.540001000000004,31.32,32.099998,32.099998,201300
2015-03-06,31.84,31.93,29.16,29.299999,29.299999,379400
2015-03-09,28.75,28.950001,26.0,26.200001,26.200001,387900
2015-03-10,26.219998999999998,26.219998999999998,25.33,25.799999,25.799999,319000
2015-03-11,25.700001,26.040001,23.940001000000002,24.65,24.65,292400
2015-03-12,24.799999,26.950001,24.780001000000002,26.129998999999998,26.129998999999998,716000
2015-03-13,25.959999,28.67,25.959999,27.74,27.74,560200
2015-03-16,28.030001000000002,28.959999,28.0,28.790001,28.790001,166400
2015-03-17,28.65,30.74,28.65,29.540001,29.540001,387200
2015-03-18,29.450001,29.98,29.365,29.77,29.77,114600
2015-03-19,29.709999,30.23,29.17,30.190001000000002,30.190001000000002,174500
2015-03-20,31.575001,31.575001,30.26,30.709999,30.709999,162200
2015-03-23,30.67,30.99,27.709999,28.799999,28.799999,254500
2015-03-24,28.59,29.1,28.139999,28.139999,28.139999,50500
2015-03-25,28.25,28.6,26.93,27.969998999999998,27.969998999999998,278300
2015-03-26,27.690001000000002,28.6,27.690001000000002,28.08,28.08,48800
2015-03-27,28.379998999999998,30.860001,28.360001,29.27,29.27,219600
2015-03-30,29.379998999999998,30.67,29.24,29.860001,29.860001,153700
2015-03-31,29.790001,30.93,29.66,30.58,30.58,239200
2015-04-01,30.58,31.76,30.440001000000002,30.73,30.73,215600
2015-04-02,30.690001000000002,31.129998999999998,30.52,30.99,30.99,145700
