Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,7.822,7.85,7.81,7.85,7.85,2900
2015-01-02,7.822,7.85,7.81,7.85,7.85,2900
2015-01-02,7.822,7.85,7.81,7.85,7.85,2900
2015-01-02,7.822,7.85,7.81,7.85,7.85,2900
2015-01-05,7.85,7.85,7.75,7.79,7.79,1900
2015-01-06,7.79,7.8,7.5,7.65,7.65,17600
2015-01-07,7.9,7.9,7.43,7.45,7.45,52700
2015-01-08,7.47,7.6,7.37,7.39,7.39,31600
2015-01-09,7.48,7.58,7.44,7.57,7.57,48900
2015-01-12,7.62,7.7,7.53,7.66,7.66,13400
2015-01-13,7.66,7.68,7.62,7.66,7.66,4100
2015-01-14,7.65,7.76,7.5,7.7,7.7,7200
2015-01-15,7.77,7.77,7.46,7.71,7.71,9700
2015-01-16,7.76,7.78,7.4,7.78,7.78,18700
2015-01-20,7.77,7.88,7.62,7.75,7.75,20500
2015-01-21,7.75,7.85,7.73,7.81,7.81,4000
2015-01-22,7.65,7.81,7.65,7.78,7.78,9600
2015-01-23,7.7,7.795,7.65,7.65,7.65,31700
2015-01-26,7.75,7.75,7.57,7.57,7.57,5000
2015-01-27,7.62,7.7,7.62,7.7,7.7,2800
2015-01-28,7.75,7.75,7.665,7.74,7.74,6800
2015-01-29,7.74,7.75,7.71,7.74,7.74,5200
2015-01-30,7.653,7.75,7.653,7.702000000000001,7.702000000000001,7900
2015-02-02,7.7,7.7,7.61,7.67,7.67,4700
2015-02-03,7.67,7.8,7.67,7.71,7.71,5300
2015-02-04,7.7,7.84,7.7,7.78,7.78,5800
2015-02-05,7.81,7.85,7.65,7.8,7.8,14500
2015-02-06,7.85,7.85,7.6,7.73,7.73,15200
2015-02-09,7.7,7.72,7.7,7.72,7.72,4500
2015-02-10,7.71,7.72,7.63,7.72,7.72,2600
2015-02-11,7.72,7.75,7.68,7.69,7.69,11700
2015-02-12,7.7,7.73,7.6,7.654,7.654,4500
2015-02-13,7.6,7.67,7.6,7.64,7.64,1700
2015-02-17,7.6,7.69,7.6,7.69,7.69,4500
2015-02-18,7.63,7.7,7.62,7.62,7.62,2700
2015-02-19,7.7,7.7,7.62,7.64,7.64,6200
2015-02-20,7.66,7.72,7.66,7.66,7.66,13300
2015-02-23,7.72,7.739,7.692,7.7,7.7,10700
2015-02-24,7.67,7.7,7.61,7.62,7.62,15200
2015-02-25,7.6,7.7,7.6,7.65,7.65,2100
2015-02-26,7.68,7.766,7.67,7.73,7.73,8900
2015-02-27,7.68,7.72,7.66,7.72,7.72,4900
2015-03-02,7.73,7.75,7.72,7.74,7.74,7600
2015-03-03,7.75,7.81,7.75,7.76,7.76,9400
2015-03-04,7.7379999999999995,7.75,7.7379999999999995,7.75,7.75,1900
2015-03-05,7.72,7.78,7.56,7.6,7.6,13700
2015-03-06,7.51,7.55,7.41,7.49,7.49,23700
2015-03-09,7.5,7.54,7.5,7.52,7.52,6200
2015-03-10,7.45,7.59,7.45,7.54,7.54,1900
2015-03-11,7.52,7.54,7.49,7.51,7.51,9800
2015-03-12,7.44,7.55,7.44,7.5,7.5,12200
2015-03-13,7.43,7.52,7.43,7.52,7.52,3500
2015-03-16,7.64,7.67,7.47,7.58,7.58,14000
2015-03-17,7.53,7.53,7.53,7.53,7.53,600
2015-03-18,7.53,7.54,7.51,7.53,7.53,7100
2015-03-19,7.53,7.54,7.51,7.53,7.53,3600
2015-03-20,7.54,7.66,7.5,7.5,7.5,19600
2015-03-23,7.55,7.65,7.5,7.63,7.63,23400
2015-03-24,7.65,7.69,7.63,7.63,7.63,36200
2015-03-25,7.65,7.65,7.63,7.64,7.64,10600
2015-03-26,7.63,7.64,7.63,7.63,7.63,1700
2015-03-27,7.65,7.67,7.52,7.55,7.55,45700
2015-03-30,7.52,7.64,7.52,7.6,7.6,31600
2015-03-31,7.63,7.63,7.55,7.59,7.59,20000
2015-04-01,7.56,7.57,7.46,7.5,7.5,29900
2015-04-02,7.46,7.65,7.46,7.56,7.56,46900
2015-04-06,7.58,7.58,7.46,7.46,7.46,12200
2015-04-07,7.46,7.59,7.4,7.58,7.58,71800
2015-04-08,7.461,7.69,7.46,7.62,7.62,65100
2015-04-09,7.58,7.58,7.4,7.43,7.43,50000
2015-04-10,7.4,7.5,7.4,7.45,7.45,16600
2015-04-13,7.49,7.84,7.46,7.52,7.52,107800
2015-04-14,7.61,7.61,7.38,7.42,7.42,88400
2015-04-15,7.47,7.486000000000001,7.39,7.43,7.43,7700
2015-04-16,7.48,7.489,7.25,7.41,7.41,55900
2015-04-17,7.41,7.52,7.31,7.39,7.39,27900
